0,takitis,"Sorry, my bad.. However, OPT has the TOA 150B listed as F8. Bob.",3,1
1,takitis,You're absolutely correct. I don't believe that there are any FS-128s with a 07xxx serial number..,3,1
2,takitis,"Same here Scott. I rarely get the 102 out since I've got a 128, but there is no way I'm letting the little one go!.",5,2
3,takitis,Actually they are pretty close as far as I am concerned. I had both for a brief moment..,3,3
4,takitis,"I got my FC76 used from Japan, and it still has the sticker. I guess the tort laws in Japan have become as bad as here?   or maybe it's just CYA for the American market..",4,1
5,takitis,"Shhhhhhh !!! Sergio, I nearly had Howard convinced to send that 128 to me !!!!",5,1
6,takitis,"No worries! They all look gray at night.. Takitis is expensive - and so is ""FeatherTouch Fever"". Yes, I also suffer from a 'touch' of that as well.. Ron.",2,2
7,takitis,"If you can host the photos somewhere else, you can provide a link to them. Just an idea..",3,1
8,takitis,,3,1
9,takitis,"But Scott,let mehelp you. The first step in recovery is admitting you have a problem. If you sold the 102 to me you would be well on you way to Takitis recovery! Brian.",4,2
10,if aperture rules why is it that refractors are so popular,Mike the Thread Killer!,3,1
11,if aperture rules why is it that refractors are so popular,"Collimation is so simple and it takes only a short while. Even if I am alone and have to climb up and down the ladder, my big scope only takes two or three minutes.. Took me about 15 minutes to tweak collimation on my Tinsley Cassegrain last night. But, I'm new to this - induced more error on the first try - and the scope hardware is 70+ years old. For high resolution viewing, it was worth it. Couldn't believe it's just a 6"" mirror. As I posted in Cats & Casses, if this scope had a wider FOV, it would seriously challenge my refractors on open clusters. Saw so many faint background stars in the field with Saturn that I couldn't ID the smaller moons. Never happened before with any of my scopes, and the seeing wasn't great..",1,4
12,if aperture rules why is it that refractors are so popular,"Are refractors more popular than scopes with mirrors.... Yes.. From 1960 to NOW, a much larger number of small refractors have been bought & used than any other telescope design. Shop the used scope market on eBay, browse the online or local Dept Stores, the evidence is there unless you refuse to see it. For every 1 used reflector on eBay, there are at least 10 used small refractors on any given day. Unless the achros are reproducing under the cover of darkness, more were made, bought, and used over the years.. In Darwinian terms: Survival of the fittest. Takes more abuse to wreck a small refractor -- though some folks do manage to do it!. It's not a tough call. It's a demonstrable fact.. And... it's all Jim's fault..",4,2
